Make,Model,Ex-Showroom_Price,Body_Type,Length,Fuel_Type,Displacement
Audi,Q3,3496750,SUV,4388.0,Petrol,1395.0
Maruti Suzuki,Gypsy,637343,SUV,4010.0,Petrol,1298.0
Maruti Suzuki,Gypsy,622730,SUV,4010.0,Petrol,1298.0
Renault,Duster,799990,SUV,4315.0,Petrol,1498.0
Renault,Duster,919990,SUV,4315.0,Petrol,1498.0
Renault,Duster,999990,SUV,4315.0,Petrol,1498.0
Honda,Brv,952900,SUV,4453.0,Petrol,1497.0
Honda,Brv,1052900,SUV,4453.0,Petrol,1497.0
Honda,Brv,1167900,SUV,4453.0,Petrol,1497.0
Honda,Brv,1271900,SUV,4456.0,Petrol,1497.0
Honda,Brv,1285900,SUV,4456.0,Petrol,1497.0
Jeep,Compass,1996000,SUV,4395.0,Petrol,1368.0
Jeep,Compass,1560000,SUV,4395.0,Petrol,1368.0
Jeep,Compass,2055000,SUV,4395.0,Petrol,1368.0
Jeep,Compass,2167000,SUV,4395.0,Petrol,1368.0
Jeep,Compass,1599000,SUV,4395.0,Petrol,1368.0
Jeep,Compass,1900000,SUV,4395.0,Petrol,1368.0
Jeep,Compass,2070000,SUV,4395.0,Petrol,1368.0
Renault,Captur,949999,SUV,4329.0,Petrol,1498.0
Renault,Captur,1199999,SUV,4329.0,Petrol,1498.0
Kia,Seltos,989000,SUV,4315.0,Petrol,1497.0
Kia,Seltos,1029000,SUV,4315.0,Petrol,1497.0
Kia,Seltos,1149000,SUV,4315.0,Petrol,1497.0
Kia,Seltos,1309000,SUV,4315.0,Petrol,1497.0
Kia,Seltos,1409000,SUV,4315.0,Petrol,1497.0
Kia,Seltos,1379000,SUV,4315.0,Petrol,1353.0
Kia,Seltos,1529000,SUV,4315.0,Petrol,1353.0
Kia,Seltos,1629000,SUV,4315.0,Petrol,1353.0
Kia,Seltos,1629000,SUV,4315.0,Petrol,1353.0
Nissan,Terrano,999900,SUV,4331.0,Petrol,1598.0
Mg,Hector,1248000,SUV,4655.0,Petrol,1500.0
Mg,Hector,1328000,SUV,4655.0,Petrol,1500.0
Mg,Hector,1568000,SUV,4655.0,Petrol,1500.0
Mg,Hector,1718000,SUV,4655.0,Petrol,1500.0
Hyundai,Creta,999990,SUV,4270.0,Petrol,1591.0
Hyundai,Creta,1232534,SUV,4270.0,Petrol,1591.0
Hyundai,Creta,1394437,SUV,4270.0,Petrol,1591.0
Hyundai,Creta,1377363,SUV,4270.0,Petrol,1591.0
Hyundai,Creta,1287041,SUV,4270.0,Petrol,1591.0
Hyundai,Creta,1422937,SUV,4270.0,Petrol,1591.0
Hyundai,Creta,1092192,SUV,4270.0,Petrol,1591.0
Hyundai,Creta,1279983,SUV,4270.0,Petrol,1591.0
Nissan,Kicks,955000,SUV,4384.0,Petrol,1498.0
Nissan,Kicks,1095000,SUV,4384.0,Petrol,1498.0
